mille cent quatre-vingt	NUM
mille cent quatre-vingt-un	NUM
mille cent quatre-vingt-dix	NUM
mille cent quatre-vingt-onze	NUM
mille cent quatre-vingt-dix-sept	NUM
mille cent quatre-vingt-dix-huit	NUM
mille cent quatre-vingt-dix-neuf	NUM
mille cent quatre-vingt-douze	NUM
mille cent quatre-vingt-treize	NUM
mille cent quatre-vingt-quatorze	NUM
mille cent quatre-vingt-quinze	NUM
mille cent quatre-vingt-seize	NUM
mille cent quatre-vingt-quatre	NUM
mille cent quatre-vingt-deux	NUM
mille cent quatre-vingt-trois	NUM
mille cent quatre-vingt-cinq	NUM
mille cent quatre-vingt-six	NUM
mille cent quatre-vingt-sept	NUM
mille cent quatre-vingt-huit	NUM
mille cent quatre-vingt-neuf	NUM
mille cent dix	NUM
mille cent onze	NUM
mille cent dix-sept	NUM
mille cent dix-huit	NUM
mille cent dix-neuf	NUM
mille cent douze	NUM
mille cent treize	NUM
mille cent quatorze	NUM
mille cent quinze	NUM
mille cent seize	NUM
mille cent vingt	NUM
mille cent vingt et un	NUM
mille cent vingt-quatre	NUM
mille cent vingt-deux	NUM
mille cent vingt-trois	NUM
mille cent vingt-cinq	NUM
mille cent vingt-six	NUM
mille cent vingt-sept	NUM
mille cent vingt-huit	NUM
mille cent vingt-neuf	NUM
mille cent trente	NUM
mille cent trente et un	NUM
mille cent trente-quatre	NUM
mille cent trente-deux	NUM
mille cent trente-trois	NUM
mille cent trente-cinq	NUM
mille cent trente-six	NUM
mille cent trente-sept	NUM
mille cent trente-huit	NUM
mille cent trente-neuf	NUM
mille cent quarante	NUM
mille cent quarante et un	NUM
mille cent quarante-quatre	NUM
mille cent quarante-deux	NUM
mille cent quarante-trois	NUM
mille cent quarante-cinq	NUM
mille cent quarante-six	NUM
mille cent quarante-sept	NUM
mille cent quarante-huit	NUM
mille cent quarante-neuf	NUM
mille cent cinquante	NUM
mille cent cinquante et un	NUM
mille cent cinquante-quatre	NUM
mille cent cinquante-deux	NUM
mille cent cinquante-trois	NUM
mille cent cinquante-cinq	NUM
mille cent cinquante-six	NUM
mille cent cinquante-sept	NUM
mille cent cinquante-huit	NUM
mille cent cinquante-neuf	NUM
mille cent septante	NUM
mille cent septante et un	NUM
mille cent septante-quatre	NUM
mille cent septante-deux	NUM
mille cent septante-trois	NUM
mille cent septante-cinq	NUM
mille cent septante-six	NUM
mille cent septante-sept	NUM
mille cent septante-huit	NUM
mille cent septante-neuf	NUM
mille cent octante	NUM
mille cent octante et un	NUM
mille cent octante-quatre	NUM
mille cent octante-deux	NUM
mille cent octante-trois	NUM
mille cent octante-cinq	NUM
mille cent octante-six	NUM
mille cent octante-sept	NUM
mille cent octante-huit	NUM
mille cent octante-neuf	NUM
mille cent huitante	NUM
mille cent huitante et un	NUM
mille cent huitante-quatre	NUM
mille cent huitante-deux	NUM
mille cent huitante-trois	NUM
mille cent huitante-cinq	NUM
mille cent huitante-six	NUM
mille cent huitante-sept	NUM
mille cent huitante-huit	NUM
mille cent huitante-neuf	NUM
mille cent nonante	NUM
mille cent nonante et un	NUM
mille cent nonante-quatre	NUM
mille cent nonante-deux	NUM
mille cent nonante-trois	NUM
mille cent nonante-cinq	NUM
mille cent nonante-six	NUM
mille cent nonante-sept	NUM
mille cent nonante-huit	NUM
mille cent nonante-neuf	NUM
mille cent quatre	NUM
mille cent deux	NUM
mille cent trois	NUM
mille cent cinq	NUM
mille cent six	NUM
mille cent sept	NUM
mille cent huit	NUM
mille cent neuf	NUM
mille dix-sept	NUM
mille dix-huit	NUM
mille dix-neuf	NUM
mille douze	NUM
mille treize	NUM
mille quatorze	NUM
mille quinze	NUM
mille seize	NUM
mille vingt	NUM
mille vingt et un	NUM
mille vingt-quatre	NUM
mille vingt-deux	NUM
mille vingt-trois	NUM
mille vingt-cinq	NUM
mille vingt-six	NUM
mille vingt-sept	NUM
mille vingt-huit	NUM
mille vingt-neuf	NUM
mille trente	NUM
mille trente et un	NUM
mille trente-quatre	NUM
mille trente-deux	NUM
mille trente-trois	NUM
mille trente-cinq	NUM
mille trente-six	NUM
mille trente-sept	NUM
mille trente-huit	NUM
mille trente-neuf	NUM
mille quarante	NUM
mille quarante et un	NUM
mille quarante-quatre	NUM
mille quarante-deux	NUM
mille quarante-trois	NUM
mille quarante-cinq	NUM
mille quarante-six	NUM
mille quarante-sept	NUM
mille quarante-huit	NUM
mille quarante-neuf	NUM
mille cinquante	NUM
mille cinquante et un	NUM
mille cinquante-quatre	NUM
mille cinquante-deux	NUM
mille cinquante-trois	NUM
mille cinquante-cinq	NUM
mille cinquante-six	NUM
mille cinquante-sept	NUM
mille cinquante-huit	NUM
mille cinquante-neuf	NUM
mille septante	NUM
mille septante et un	NUM
mille septante-quatre	NUM
mille septante-deux	NUM
mille septante-trois	NUM
mille septante-cinq	NUM
mille septante-six	NUM
mille septante-sept	NUM
mille septante-huit	NUM
mille septante-neuf	NUM
mille octante	NUM
mille octante et un	NUM
mille octante-quatre	NUM
mille octante-deux	NUM
mille octante-trois	NUM
mille octante-cinq	NUM
mille octante-six	NUM
mille octante-sept	NUM
mille octante-huit	NUM
mille octante-neuf	NUM
mille huitante	NUM
mille huitante et un	NUM
mille huitante-quatre	NUM
mille huitante-deux	NUM
mille huitante-trois	NUM
mille huitante-cinq	NUM
mille huitante-six	NUM
mille huitante-sept	NUM
mille huitante-huit	NUM
mille huitante-neuf	NUM
mille nonante	NUM
mille nonante et un	NUM
mille nonante-quatre	NUM
mille nonante-deux	NUM
mille nonante-trois	NUM
mille nonante-cinq	NUM
mille nonante-six	NUM
mille nonante-sept	NUM
mille nonante-huit	NUM
mille nonante-neuf	NUM
mille quatre	NUM
mille quatre cent un	NUM
mille quatre cent soixante	NUM
mille quatre cent soixante et un	NUM
mille quatre cent soixante et onze	NUM
mille quatre cent soixante-dix	NUM
mille quatre cent soixante-dix-sept	NUM
mille quatre cent soixante-dix-huit	NUM
mille quatre cent soixante-dix-neuf	NUM
mille quatre cent soixante-douze	NUM
mille quatre cent soixante-treize	NUM
mille quatre cent soixante-quatorze	NUM
mille quatre cent soixante-quinze	NUM
mille quatre cent soixante-seize	NUM
