soixante et un	ADJ
soixante et onze	ADJ
cent un	ADJ
cent soixante	ADJ
cent soixante et un	ADJ
cent soixante et onze	ADJ
cent soixante-dix	ADJ
cent soixante-dix-sept	ADJ
cent soixante-dix-huit	ADJ
cent soixante-dix-neuf	ADJ
cent soixante-douze	ADJ
cent soixante-treize	ADJ
cent soixante-quatorze	ADJ
cent soixante-quinze	ADJ
cent soixante-seize	ADJ
cent soixante-quatre	ADJ
cent soixante-deux	ADJ
cent soixante-trois	ADJ
cent soixante-cinq	ADJ
cent soixante-six	ADJ
cent soixante-sept	ADJ
cent soixante-huit	ADJ
cent soixante-neuf	ADJ
cent quatre-vingt	ADJ
cent quatre-vingt-un	ADJ
cent quatre-vingt-dix	ADJ
cent quatre-vingt-onze	ADJ
cent quatre-vingt-dix-sept	ADJ
cent quatre-vingt-dix-huit	ADJ
cent quatre-vingt-dix-neuf	ADJ
cent quatre-vingt-douze	ADJ
cent quatre-vingt-treize	ADJ
cent quatre-vingt-quatorze	ADJ
cent quatre-vingt-quinze	ADJ
cent quatre-vingt-seize	ADJ
cent quatre-vingt-quatre	ADJ
cent quatre-vingt-deux	ADJ
cent quatre-vingt-trois	ADJ
cent quatre-vingt-cinq	ADJ
cent quatre-vingt-six	ADJ
cent quatre-vingt-sept	ADJ
cent quatre-vingt-huit	ADJ
cent quatre-vingt-neuf	ADJ
cent dix	ADJ
cent onze	ADJ
cent dix-sept	ADJ
cent dix-huit	ADJ
cent dix-neuf	ADJ
cent douze	ADJ
cent treize	ADJ
cent quatorze	ADJ
cent quinze	ADJ
cent seize	ADJ
cent vingt	ADJ
cent vingt et un	ADJ
cent vingt-quatre	ADJ
cent vingt-deux	ADJ
cent vingt-trois	ADJ
cent vingt-cinq	ADJ
cent vingt-six	ADJ
cent vingt-sept	ADJ
cent vingt-huit	ADJ
cent vingt-neuf	ADJ
cent trente	ADJ
cent trente et un	ADJ
cent trente-quatre	ADJ
cent trente-deux	ADJ
cent trente-trois	ADJ
cent trente-cinq	ADJ
cent trente-six	ADJ
cent trente-sept	ADJ
cent trente-huit	ADJ
cent trente-neuf	ADJ
cent quarante	ADJ
cent quarante et un	ADJ
cent quarante-quatre	ADJ
cent quarante-deux	ADJ
cent quarante-trois	ADJ
cent quarante-cinq	ADJ
cent quarante-six	ADJ
cent quarante-sept	ADJ
cent quarante-huit	ADJ
cent quarante-neuf	ADJ
cent cinquante	ADJ
cent cinquante et un	ADJ
cent cinquante-quatre	ADJ
cent cinquante-deux	ADJ
cent cinquante-trois	ADJ
cent cinquante-cinq	ADJ
cent cinquante-six	ADJ
cent cinquante-sept	ADJ
cent cinquante-huit	ADJ
cent cinquante-neuf	ADJ
cent septante	ADJ
cent septante et un	ADJ
cent septante-quatre	ADJ
cent septante-deux	ADJ
cent septante-trois	ADJ
cent septante-cinq	ADJ
cent septante-six	ADJ
cent septante-sept	ADJ
cent septante-huit	ADJ
cent septante-neuf	ADJ
cent octante	ADJ
cent octante et un	ADJ
cent octante-quatre	ADJ
cent octante-deux	ADJ
cent octante-trois	ADJ
cent octante-cinq	ADJ
cent octante-six	ADJ
cent octante-sept	ADJ
cent octante-huit	ADJ
cent octante-neuf	ADJ
cent huitante	ADJ
cent huitante et un	ADJ
cent huitante-quatre	ADJ
cent huitante-deux	ADJ
cent huitante-trois	ADJ
cent huitante-cinq	ADJ
cent huitante-six	ADJ
cent huitante-sept	ADJ
cent huitante-huit	ADJ
cent huitante-neuf	ADJ
cent nonante	ADJ
cent nonante et un	ADJ
cent nonante-quatre	ADJ
cent nonante-deux	ADJ
cent nonante-trois	ADJ
cent nonante-cinq	ADJ
cent nonante-six	ADJ
cent nonante-sept	ADJ
cent nonante-huit	ADJ
cent nonante-neuf	ADJ
cent quatre	ADJ
cent deux	ADJ
cent trois	ADJ
cent cinq	ADJ
cent six	ADJ
cent sept	ADJ
cent huit	ADJ
cent neuf	ADJ
mille soixante	ADJ
